2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
5e-06 0.008984375 0.02861328125	0.00595703125 0.97265625
7.5e-06 0.0060546875 0.011328125	0.0025390625 1.046875
1e-05 0.0052734375 0.00322265625	0.0037109375 1.0791015625
1.25e-05 0.00517578125 0.000390625	0.00517578125 1.091796875
1.5e-05 0.008203125 0.00361328125	0.00849609375 1.109375
1.75e-05 0.009375 0.00302734375	0.00986328125 1.115234375
2e-05 0.01103515625 0.00546875	0.0115234375 1.123046875
2.25e-05 0.01201171875 0.0056640625	0.012890625 1.1279296875
2.5e-05 0.01298828125 0.006640625	0.01396484375 1.1328125
2.75e-05 0.01416015625 0.00869140625	0.0150390625 1.13671875
3e-05 0.015625 0.0109375	0.01708984375 1.1435546875
3.25e-05 0.01689453125 0.01298828125	0.01640625 1.1416015625
3.5e-05 0.0185546875 0.0158203125	0.01748046875 1.1435546875
3.75e-05 0.01953125 0.0177734375	0.0181640625 1.146484375
4e-05 0.02041015625 0.0197265625	0.01962890625 1.1513671875
4.25e-05 0.02138671875 0.0224609375	0.02060546875 1.154296875
4.5e-05 0.02216796875 0.023828125	0.01982421875 1.150390625
4.75e-05 0.022265625 0.02421875	0.02158203125 1.158203125
5e-05 0.02197265625 0.02333984375	0.02177734375 1.158203125
5.25e-05 0.022265625 0.0248046875	0.0224609375 1.1611328125
5.5e-05 0.02275390625 0.0255859375	0.0220703125 1.1591796875
5.75e-05 0.02470703125 0.030078125	0.02255859375 1.1611328125
6e-05 0.0244140625 0.0287109375	0.022265625 1.1572265625
6.25e-05 0.0251953125 0.02998046875	0.02451171875 1.1650390625
6.5e-05 0.02587890625 0.03134765625	0.0251953125 1.166015625
6.75e-05 0.02568359375 0.03095703125	0.0259765625 1.1669921875
7e-05 0.0255859375 0.03046875	0.0259765625 1.1669921875
7.25e-05 0.02578125 0.03056640625	0.026171875 1.16796875
7.5e-05 0.02607421875 0.03134765625	0.02607421875 1.16796875
7.75e-05 0.0265625 0.03251953125	0.02607421875 1.16796875
8e-05 0.026953125 0.0330078125	0.0267578125 1.1689453125
8.25e-05 0.0271484375 0.0330078125	0.02734375 1.169921875
8.5e-05 0.02685546875 0.0328125	0.027734375 1.1708984375
8.75e-05 0.02548828125 0.03076171875	0.02783203125 1.171875
9e-05 0.02685546875 0.0328125	0.0275390625 1.1708984375
9.25e-05 0.02744140625 0.033984375	0.02744140625 1.1708984375
9.5e-05 0.02783203125 0.0341796875	0.02744140625 1.1708984375
9.75e-05 0.0279296875 0.034375	0.02802734375 1.1728515625
0.0001 0.02802734375 0.03466796875	0.0283203125 1.173828125
0.0001025 0.02841796875 0.03525390625	0.02841796875 1.173828125
0.000105 0.02763671875 0.03388671875	0.02841796875 1.173828125
0.0001075 0.02763671875 0.03388671875	0.0283203125 1.1748046875
0.00011 0.0279296875 0.0349609375	0.02802734375 1.1728515625
0.0001125 0.0283203125 0.03515625	0.02822265625 1.1728515625
0.000115 0.0283203125 0.0349609375	0.02822265625 1.1728515625
0.0001175 0.02822265625 0.03505859375	0.028515625 1.173828125
0.00012 0.028125 0.03515625	0.02958984375 1.177734375
0.0001225 0.028125 0.0349609375	0.028125 1.1728515625
0.000125 0.02841796875 0.035546875	0.02802734375 1.173828125
0.0001275 0.028515625 0.035546875	0.028125 1.173828125
0.00013 0.0283203125 0.03603515625	0.0283203125 1.1748046875
0.0001325 0.028515625 0.03525390625	0.02841796875 1.1748046875
0.000135 0.02841796875 0.03525390625	0.028125 1.173828125
0.0001375 0.028125 0.03505859375	0.02841796875 1.1748046875
0.00014 0.028515625 0.03583984375	0.02822265625 1.173828125
0.0001425 0.02890625 0.0365234375	0.02822265625 1.1748046875
0.000145 0.02880859375 0.03623046875	0.028125 1.173828125
0.0001475 0.02861328125 0.03583984375	0.0283203125 1.173828125
0.00015 0.02861328125 0.03544921875	0.0283203125 1.173828125
0.0001525 0.0287109375 0.03583984375	0.02841796875 1.173828125
0.000155 0.0287109375 0.03603515625	0.02822265625 1.1748046875
0.0001575 0.02890625 0.0361328125	0.028125 1.173828125
0.00016 0.02890625 0.03623046875	0.028125 1.173828125
0.0001625 0.02890625 0.03583984375	0.0279296875 1.1728515625
0.000165 0.02900390625 0.0361328125	0.02841796875 1.173828125
0.0001675 0.02919921875 0.03701171875	0.02841796875 1.173828125
0.00017 0.02890625 0.036328125	0.0283203125 1.173828125
0.0001725 0.02900390625 0.03642578125	0.02802734375 1.1748046875
0.000175 0.02890625 0.03603515625	0.02822265625 1.173828125
0.0001775 0.02919921875 0.03671875	0.02841796875 1.1748046875
0.00018 0.0291015625 0.03623046875	0.0283203125 1.173828125
0.0001825 0.0291015625 0.03623046875	0.02861328125 1.1748046875
0.000185 0.0291015625 0.03623046875	0.02822265625 1.173828125
0.0001875 0.02900390625 0.03623046875	0.02841796875 1.173828125
0.00019 0.0291015625 0.03623046875	0.02841796875 1.173828125
0.0001925 0.02939453125 0.03662109375	0.028515625 1.173828125
0.000195 0.02939453125 0.036328125	0.02841796875 1.173828125
0.0001975 0.0291015625 0.0361328125	0.028515625 1.1748046875
0.0002 0.0291015625 0.0359375	0.0287109375 1.173828125
0.0002025 0.02919921875 0.0359375	0.02861328125 1.1748046875
0.000205 0.02939453125 0.03623046875	0.0287109375 1.1748046875
0.0002075 0.0294921875 0.03623046875	0.02890625 1.17578125
0.00021 0.0294921875 0.036328125	0.02880859375 1.1748046875
0.0002125 0.0294921875 0.03623046875	0.02900390625 1.17578125
0.000215 0.0294921875 0.03623046875	0.0291015625 1.17578125
0.0002175 0.02939453125 0.0361328125	0.02900390625 1.17578125
0.00022 0.02939453125 0.0365234375	0.02900390625 1.1748046875
0.0002225 0.0294921875 0.036328125	0.02919921875 1.1748046875
0.000225 0.02939453125 0.0361328125	0.02919921875 1.17578125
0.0002275 0.0294921875 0.036328125	0.029296875 1.17578125
0.00023 0.02958984375 0.036328125	0.02939453125 1.17578125
0.0002325 0.0294921875 0.0365234375	0.02939453125 1.1748046875
0.000235 0.0294921875 0.03642578125	0.02939453125 1.17578125
0.0002375 0.02958984375 0.036328125	0.0294921875 1.17578125
0.00024 0.0294921875 0.03642578125	0.02958984375 1.17578125
0.0002425 0.02939453125 0.0359375	0.0294921875 1.17578125
0.000245 0.02958984375 0.0365234375	0.02958984375 1.17578125
0.0002475 0.02958984375 0.03642578125	0.02958984375 1.17578125
0.00025 0.02939453125 0.0361328125	0.02958984375 1.17578125
0.0002525 0.0294921875 0.03623046875	0.02978515625 1.17578125
0.000255 0.0294921875 0.03642578125	0.0296875 1.17578125
0.0002575 0.02958984375 0.03681640625	0.0298828125 1.17578125
0.00026 0.02958984375 0.0365234375	0.0296875 1.17578125
0.0002625 0.02958984375 0.03642578125	0.03017578125 1.1767578125
0.000265 0.02958984375 0.03642578125	0.0296875 1.17578125
0.0002675 0.02939453125 0.03642578125	0.02978515625 1.17578125
0.00027 0.02939453125 0.036328125	0.0296875 1.17578125
0.0002725 0.0294921875 0.03623046875	0.02958984375 1.1748046875
0.000275 0.02939453125 0.0361328125	0.0296875 1.17578125
0.0002775 0.02939453125 0.03623046875	0.0296875 1.17578125
0.00028 0.02939453125 0.03623046875	0.0296875 1.17578125
0.0002825 0.029296875 0.036328125	0.02958984375 1.17578125
0.000285 0.02939453125 0.03623046875	0.02978515625 1.17578125
0.0002875 0.02939453125 0.0365234375	0.0296875 1.17578125
0.00029 0.029296875 0.03623046875	0.02978515625 1.17578125
0.0002925 0.029296875 0.03603515625	0.02978515625 1.17578125
0.000295 0.029296875 0.036328125	0.0296875 1.1748046875
0.0002975 0.02919921875 0.036328125	0.0296875 1.17578125
0.0003 0.0291015625 0.0359375	0.0296875 1.1748046875
0.0003025 0.029296875 0.03623046875	0.02998046875 1.1767578125
0.000305 0.02919921875 0.03642578125	0.02958984375 1.1748046875
0.0003075 0.0291015625 0.0361328125	0.02958984375 1.17578125
0.00031 0.029296875 0.0361328125	0.02958984375 1.17578125
0.0003125 0.02919921875 0.03623046875	0.02978515625 1.17578125
0.000315 0.02890625 0.03564453125	0.0294921875 1.1748046875
0.0003175 0.02900390625 0.0357421875	0.0294921875 1.17578125
0.00032 0.02919921875 0.0361328125	0.0294921875 1.17578125
0.0003225 0.0291015625 0.0361328125	0.02939453125 1.1748046875
0.000325 0.02919921875 0.03671875	0.02939453125 1.1748046875
0.0003275 0.0291015625 0.0361328125	0.0294921875 1.1748046875
0.00033 0.0291015625 0.0361328125	0.02939453125 1.1748046875
0.0003325 0.02900390625 0.0361328125	0.02919921875 1.1748046875
0.000335 0.029296875 0.03720703125	0.02939453125 1.17578125
0.0003375 0.02890625 0.03603515625	0.02939453125 1.1748046875
0.00034 0.02900390625 0.0359375	0.0291015625 1.1748046875
0.0003425 0.02880859375 0.03564453125	0.02919921875 1.1748046875
0.000345 0.029296875 0.03671875	0.0291015625 1.1748046875
0.0003475 0.02880859375 0.03603515625	0.0291015625 1.1748046875
0.00035 0.02900390625 0.036328125	0.0291015625 1.1748046875
0.0003525 0.02880859375 0.03583984375	0.02900390625 1.173828125
0.000355 0.028515625 0.0353515625	0.02900390625 1.173828125
0.0003575 0.02880859375 0.03603515625	0.02890625 1.173828125
0.00036 0.02880859375 0.0359375	0.02890625 1.1748046875
0.0003625 0.0287109375 0.03564453125	0.02880859375 1.173828125
0.000365 0.028515625 0.035546875	0.0287109375 1.173828125
0.0003675 0.0287109375 0.0357421875	0.02890625 1.1748046875
0.00037 0.0287109375 0.03564453125	0.0287109375 1.1748046875
0.0003725 0.02880859375 0.0357421875	0.0287109375 1.1748046875
0.000375 0.02900390625 0.03642578125	0.02861328125 1.173828125
0.0003775 0.02880859375 0.0359375	0.0287109375 1.1748046875
0.00038 0.02861328125 0.0357421875	0.02880859375 1.1748046875
0.0003825 0.02861328125 0.03564453125	0.02880859375 1.17578125
0.000385 0.028515625 0.03515625	0.02861328125 1.173828125
0.0003875 0.0287109375 0.03583984375	0.02861328125 1.173828125
0.00039 0.028515625 0.035546875	0.02841796875 1.173828125
0.0003925 0.02861328125 0.03525390625	0.02861328125 1.1748046875
0.000395 0.028515625 0.0353515625	0.02861328125 1.173828125
0.0003975 0.02861328125 0.0357421875	0.028515625 1.173828125
0.0004 0.0287109375 0.0359375	0.02841796875 1.173828125
0.0004025 0.02861328125 0.03544921875	0.028515625 1.173828125
0.000405 0.02880859375 0.03623046875	0.0283203125 1.1728515625
0.0004075 0.028515625 0.03544921875	0.02841796875 1.173828125
0.00041 0.028515625 0.03544921875	0.02841796875 1.173828125
0.0004125 0.028515625 0.035546875	0.02822265625 1.173828125
0.000415 0.028515625 0.03544921875	0.0283203125 1.173828125
0.0004175 0.02841796875 0.03515625	0.028515625 1.1748046875
0.00042 0.02841796875 0.035546875	0.0283203125 1.173828125
