2e-06 -0.01455078125 -0.03076171875	0.0041015625 0.8828125
4e-06 -0.00146484375 0.00185546875	0.001171875 0.9443359375
6e-06 0.00068359375 0.0126953125	-0.005859375 0.9921875
8e-06 0.007421875 0.01953125	-0.0009765625 1.041015625
1e-05 0.00830078125 0.01845703125	-0.0046875 1.0625
1.2e-05 0.001953125 -0.0013671875	0.00849609375 1.1025390625
1.4e-05 0.00732421875 0.01337890625	0.0103515625 1.11328125
1.6e-05 0.00966796875 0.01953125	0.0130859375 1.1240234375
1.8e-05 0.00966796875 0.01845703125	0.0107421875 1.1162109375
2e-05 0.01181640625 0.02265625	0.012109375 1.12109375
2.2e-05 0.01220703125 0.0236328125	0.0126953125 1.1240234375
2.4e-05 0.01279296875 0.023828125	0.01337890625 1.1259765625
2.6e-05 0.01298828125 0.0232421875	0.01484375 1.1298828125
2.8e-05 0.014453125 0.0265625	0.01552734375 1.1328125
3e-05 0.0158203125 0.029296875	0.0150390625 1.1318359375
3.2e-05 0.01650390625 0.02919921875	0.01630859375 1.1337890625
3.4e-05 0.01591796875 0.02734375	0.0181640625 1.138671875
3.6e-05 0.01845703125 0.03232421875	0.0185546875 1.140625
3.8e-05 0.0189453125 0.03193359375	0.01875 1.1396484375
4e-05 0.019921875 0.03369140625	0.02060546875 1.1455078125
4.2e-05 0.02314453125 0.038671875	0.02109375 1.146484375
4.4e-05 0.02177734375 0.03662109375	0.021875 1.1484375
4.6e-05 0.021875 0.03662109375	0.02421875 1.154296875
4.8e-05 0.02158203125 0.035546875	0.0224609375 1.1513671875
5e-05 0.02177734375 0.03525390625	0.02197265625 1.150390625
5.2e-05 0.02197265625 0.03671875	0.02216796875 1.150390625
5.4e-05 0.02216796875 0.0369140625	0.02236328125 1.150390625
5.6e-05 0.02255859375 0.03740234375	0.02216796875 1.150390625
5.8e-05 0.02353515625 0.03916015625	0.0228515625 1.1533203125
6e-05 0.023828125 0.03896484375	0.02294921875 1.15234375
6.2e-05 0.0240234375 0.038671875	0.023046875 1.154296875
6.4e-05 0.0240234375 0.03818359375	0.02392578125 1.154296875
6.6e-05 0.02451171875 0.03974609375	0.0244140625 1.1552734375
6.8e-05 0.025 0.04013671875	0.02490234375 1.15625
7e-05 0.025 0.03994140625	0.02470703125 1.15625
7.2e-05 0.02509765625 0.04013671875	0.0248046875 1.15625
7.4e-05 0.02568359375 0.0419921875	0.025 1.15625
7.6e-05 0.02470703125 0.0396484375	0.02529296875 1.158203125
7.8e-05 0.0248046875 0.0392578125	0.0259765625 1.1611328125
8e-05 0.02568359375 0.041015625	0.025390625 1.158203125
8.2e-05 0.02578125 0.0412109375	0.025390625 1.1572265625
8.4e-05 0.02607421875 0.04150390625	0.02607421875 1.1591796875
8.6e-05 0.0255859375 0.04052734375	0.026171875 1.1591796875
8.8e-05 0.02587890625 0.0412109375	0.02548828125 1.15625
9e-05 0.02607421875 0.04208984375	0.026171875 1.1591796875
9.2e-05 0.02578125 0.0412109375	0.0259765625 1.16015625
9.4e-05 0.0263671875 0.04208984375	0.0259765625 1.1591796875
9.6e-05 0.0263671875 0.0416015625	0.0259765625 1.1591796875
9.8e-05 0.02666015625 0.042578125	0.02578125 1.158203125
0.0001 0.02666015625 0.04208984375	0.02626953125 1.1591796875
0.000102 0.02666015625 0.04228515625	0.026953125 1.1611328125
0.000104 0.026953125 0.04267578125	0.02626953125 1.158203125
0.000106 0.02666015625 0.04208984375	0.02724609375 1.162109375
0.000108 0.02626953125 0.04111328125	0.02744140625 1.1630859375
0.00011 0.026953125 0.0427734375	0.0267578125 1.1611328125
0.000112 0.026953125 0.0423828125	0.02646484375 1.16015625
0.000114 0.0267578125 0.0419921875	0.02646484375 1.16015625
0.000116 0.02705078125 0.04267578125	0.02744140625 1.1630859375
0.000118 0.02734375 0.0435546875	0.02744140625 1.162109375
0.00012 0.02705078125 0.042578125	0.02705078125 1.1611328125
0.000122 0.02685546875 0.04189453125	0.0267578125 1.1591796875
0.000124 0.026953125 0.0421875	0.02705078125 1.1611328125
0.000126 0.02744140625 0.04345703125	0.02705078125 1.1611328125
0.000128 0.02724609375 0.04267578125	0.02705078125 1.1611328125
0.00013 0.02734375 0.042578125	0.02705078125 1.16015625
0.000132 0.0279296875 0.04462890625	0.0275390625 1.162109375
0.000134 0.02744140625 0.0431640625	0.02744140625 1.1611328125
0.000136 0.02724609375 0.042578125	0.026953125 1.1591796875
0.000138 0.0275390625 0.04345703125	0.02724609375 1.16015625
0.00014 0.027734375 0.04404296875	0.02763671875 1.162109375
0.000142 0.027734375 0.04384765625	0.02763671875 1.162109375
0.000144 0.0275390625 0.04326171875	0.0271484375 1.16015625
0.000146 0.02744140625 0.04296875	0.0275390625 1.1611328125
0.000148 0.02763671875 0.04296875	0.027734375 1.162109375
0.00015 0.02744140625 0.042578125	0.0283203125 1.1640625
0.000152 0.02744140625 0.0427734375	0.02705078125 1.158203125
0.000154 0.0283203125 0.04482421875	0.02744140625 1.16015625
0.000156 0.027734375 0.04375	0.02783203125 1.162109375
0.000158 0.0275390625 0.0427734375	0.02802734375 1.1630859375
0.00016 0.02763671875 0.043359375	0.0279296875 1.162109375
0.000162 0.02763671875 0.04296875	0.02734375 1.1611328125
0.000164 0.027734375 0.04326171875	0.02861328125 1.1650390625
0.000166 0.02763671875 0.04306640625	0.02841796875 1.1640625
0.000168 0.02734375 0.0423828125	0.0279296875 1.1611328125
0.00017 0.02822265625 0.04453125	0.0279296875 1.162109375
0.000172 0.02802734375 0.04365234375	0.028125 1.1640625
0.000174 0.0279296875 0.0435546875	0.02841796875 1.1640625
0.000176 0.0279296875 0.04365234375	0.02822265625 1.1630859375
0.000178 0.0271484375 0.0423828125	0.02802734375 1.162109375
0.00018 0.02802734375 0.04365234375	0.02861328125 1.1640625
0.000182 0.0279296875 0.043359375	0.02880859375 1.166015625
0.000184 0.028125 0.04404296875	0.0283203125 1.1630859375
0.000186 0.02783203125 0.04345703125	0.0283203125 1.1630859375
0.000188 0.028125 0.0443359375	0.02841796875 1.1630859375
0.00019 0.0279296875 0.04365234375	0.02841796875 1.1630859375
0.000192 0.0279296875 0.043359375	0.028125 1.1611328125
0.000194 0.02802734375 0.04375	0.02822265625 1.162109375
0.000196 0.02841796875 0.04443359375	0.0283203125 1.162109375
0.000198 0.02822265625 0.04404296875	0.029296875 1.166015625
0.0002 0.027734375 0.04296875	0.028515625 1.1640625
0.000202 0.02763671875 0.04248046875	0.02900390625 1.1630859375
0.000204 0.02802734375 0.0435546875	0.028515625 1.1630859375
0.000206 0.0279296875 0.0431640625	0.02841796875 1.1630859375
0.000208 0.02802734375 0.04296875	0.0283203125 1.1630859375
0.00021 0.0283203125 0.04375	0.02861328125 1.1630859375
0.000212 0.02841796875 0.04404296875	0.02890625 1.1630859375
0.000214 0.028125 0.043359375	0.029296875 1.1640625
0.000216 0.02783203125 0.0427734375	0.02880859375 1.1640625
0.000218 0.02783203125 0.04267578125	0.0287109375 1.1630859375
0.00022 0.02822265625 0.04345703125	0.0291015625 1.1650390625
0.000222 0.02841796875 0.0435546875	0.0287109375 1.1640625
0.000224 0.0287109375 0.0447265625	0.0287109375 1.1630859375
0.000226 0.0287109375 0.04423828125	0.028125 1.162109375
0.000228 0.028515625 0.044140625	0.028515625 1.1630859375
0.00023 0.027734375 0.0421875	0.02900390625 1.1640625
0.000232 0.028515625 0.04345703125	0.02861328125 1.1640625
0.000234 0.02841796875 0.04365234375	0.0287109375 1.1630859375
0.000236 0.0287109375 0.044140625	0.0287109375 1.1640625
0.000238 0.02900390625 0.04501953125	0.028515625 1.1630859375
0.00024 0.02880859375 0.044140625	0.02861328125 1.1630859375
0.000242 0.02880859375 0.0443359375	0.02861328125 1.162109375
0.000244 0.0287109375 0.04423828125	0.02841796875 1.162109375
0.000246 0.02861328125 0.04365234375	0.02880859375 1.1630859375
0.000248 0.02939453125 0.0453125	0.028125 1.1611328125
0.00025 0.0287109375 0.0443359375	0.0287109375 1.1630859375
0.000252 0.0291015625 0.0447265625	0.02880859375 1.1640625
0.000254 0.02900390625 0.04443359375	0.02900390625 1.1640625
0.000256 0.02890625 0.04443359375	0.02890625 1.1650390625
0.000258 0.028515625 0.0439453125	0.028515625 1.162109375
0.00026 0.028515625 0.0435546875	0.02841796875 1.162109375
0.000262 0.02880859375 0.044140625	0.0287109375 1.1640625
0.000264 0.0291015625 0.04482421875	0.02880859375 1.1630859375
0.000266 0.02890625 0.04443359375	0.02900390625 1.1640625
0.000268 0.02880859375 0.04443359375	0.0291015625 1.1650390625
0.00027 0.0287109375 0.044140625	0.02890625 1.1640625
0.000272 0.02880859375 0.04404296875	0.0294921875 1.166015625
0.000274 0.02890625 0.0443359375	0.028515625 1.162109375
0.000276 0.02919921875 0.0451171875	0.02900390625 1.1640625
0.000278 0.0294921875 0.045703125	0.0287109375 1.1630859375
0.00028 0.029296875 0.04501953125	0.02890625 1.1640625
0.000282 0.02900390625 0.0443359375	0.02880859375 1.1630859375
0.000284 0.02890625 0.04423828125	0.02890625 1.1640625
0.000286 0.02880859375 0.0439453125	0.02880859375 1.1640625
0.000288 0.02841796875 0.04296875	0.02919921875 1.1650390625
0.00029 0.02861328125 0.04404296875	0.02890625 1.1640625
0.000292 0.02939453125 0.0453125	0.02900390625 1.1640625
0.000294 0.02890625 0.04453125	0.028515625 1.1630859375
0.000296 0.02890625 0.04462890625	0.028515625 1.1630859375
0.000298 0.02880859375 0.0439453125	0.02880859375 1.1640625
0.0003 0.0287109375 0.0439453125	0.02880859375 1.1640625
0.000302 0.0287109375 0.0439453125	0.02861328125 1.1630859375
0.000304 0.02890625 0.0443359375	0.02890625 1.1640625
0.000306 0.029296875 0.04560546875	0.02900390625 1.1640625
0.000308 0.0291015625 0.044921875	0.02890625 1.1640625
0.00031 0.0287109375 0.0439453125	0.02890625 1.1640625
0.000312 0.02861328125 0.044140625	0.02841796875 1.1630859375
0.000314 0.02861328125 0.0439453125	0.02890625 1.1640625
0.000316 0.02822265625 0.0431640625	0.0287109375 1.1640625
0.000318 0.02841796875 0.04345703125	0.02822265625 1.162109375
0.00032 0.02861328125 0.0439453125	0.0291015625 1.1650390625
0.000322 0.02861328125 0.04423828125	0.02900390625 1.1650390625
0.000324 0.02822265625 0.04306640625	0.02890625 1.1650390625
0.000326 0.02861328125 0.04384765625	0.0287109375 1.1640625
0.000328 0.0287109375 0.04384765625	0.02861328125 1.1630859375
0.00033 0.028515625 0.04384765625	0.02841796875 1.1630859375
0.000332 0.028515625 0.04375	0.029296875 1.166015625
0.000334 0.02880859375 0.04482421875	0.028125 1.162109375
0.000336 0.0287109375 0.04404296875	0.02880859375 1.1640625
0.000338 0.0283203125 0.04365234375	0.02861328125 1.1640625
0.00034 0.02822265625 0.0431640625	0.02861328125 1.1640625
0.000342 0.028515625 0.04375	0.02861328125 1.1640625
0.000344 0.028125 0.04296875	0.02841796875 1.1630859375
0.000346 0.028515625 0.0439453125	0.028515625 1.1630859375
0.000348 0.0287109375 0.04453125	0.02822265625 1.162109375
0.00035 0.0283203125 0.04375	0.028125 1.1611328125
0.000352 0.0283203125 0.0431640625	0.02802734375 1.1611328125
0.000354 0.0279296875 0.04248046875	0.028515625 1.1630859375
0.000356 0.02802734375 0.0431640625	0.028515625 1.1640625
0.000358 0.02822265625 0.04365234375	0.02841796875 1.1630859375
0.00036 0.0283203125 0.04365234375	0.02802734375 1.162109375
0.000362 0.028125 0.04326171875	0.028125 1.162109375
0.000364 0.02822265625 0.04365234375	0.02841796875 1.1630859375
