cell	Voc(V)	Vlim(V)	J_sc(A/m^2)	J_rad(A/m^2)	Q_led
W1715A	1.2	1.17003	4.48558e-24	3.36156e-44	3.27682
W1715A	1.15	1.17003	4.48558e-24	3.36156e-44	0.452296
W1715A	1.1	1.17003	4.48558e-24	3.36156e-44	0.0624299
W1715A	1.05	1.17003	4.48558e-24	3.36156e-44	0.00861712
W1715A	1	1.17003	4.48558e-24	3.36156e-44	0.00118941
W1715A	0.95	1.17003	4.48558e-24	3.36156e-44	0.000164173
W1715A	0.9	1.17003	4.48558e-24	3.36156e-44	2.26606e-05
W1715A	0.85	1.17003	4.48558e-24	3.36156e-44	3.12781e-06
W1715A	0.8	1.17003	4.48558e-24	3.36156e-44	4.31728e-07
W1715A	0.75	1.17003	4.48558e-24	3.36156e-44	5.95908e-08
