cell	Voc(V)	Vlim(V)	J_sc(mA/cm^2)	J_rad(mA/cm^2)	ERE(%)
w1642	0.996	1.14923	21.2163	1.04807e-18	0.266554
w1660	0.99	1.14567	19.4396	1.1024e-18	0.242615
w1662	1.03	1.14658	21.1872	1.1597e-18	1.1003
w1664	1.01	1.14609	21.5994	1.20487e-18	0.517311
w1670	1.04	1.16305	14.7383	4.26603e-19	0.856659
w1671	1.04	1.16115	14.6284	4.55803e-19	0.922171
w1672	1.04	1.16126	14.3923	4.4648e-19	0.918128
w1674	1.01	1.1611	14.5685	4.54775e-19	0.289492
w1675	1.02	1.16232	14.7345	4.38674e-19	0.406493
w1674	1.01	1.1611	14.5685	4.54775e-19	0.289492
w1675	1.02	1.16232	14.7345	4.38674e-19	0.406493
w1678	1.03	1.16218	14.129	4.23014e-19	0.601842
w1679	0.99	1.16043	13.8406	4.43347e-19	0.137043
w1680	1.03	1.16148	14.7114	4.52588e-19	0.618426
w1682	1.02	1.15948	13.7813	4.5809e-19	0.453845
w1683	1.03	1.14917	18.3029	9.06516e-19	0.995622
w1689	1.01	1.14101	21.7549	1.47696e-18	0.629601
