cell	Voc(V)	Vlim(V)	J_sc	J_sclim(mA/cm^2)	J_rad(mA/cm^2)	ERE(%)
w1744	1.041	1.14545	21.7	21.9846	1.25728e-18	1.75932
w1744ARC	1.036	1.14911	27.4	29.1088	1.44487e-18	1.25845
w1743B	1.009	1.15246	20.1	21.7244	9.47335e-19	0.389055
w1743E	0.979	1.15125	20.7	22.0774	1.00881e-18	0.127743
w1735	1.019	1.1528	21.5	21.5277	9.26551e-19	0.565353
w1735ARC	1.026	1.15149	27	29.1423	1.31944e-18	0.779662
w1714	0.959	1.15206	14.3	20.1766	8.9338e-19	0.0571057
w1734	1.028	1.1482	17.7	20.5595	1.05696e-18	0.956506
w1718	0.996	1.14386	19.3	18.4515	1.12229e-18	0.328201
w1717	1.02	1.14527	18.9	18.822	1.08385e-18	0.786232
w1707-1	1.052	1.14865	20.6	20.781	1.0501e-18	2.37897
w1707-2	1.038	1.14839	20.9	21.051	1.07428e-18	1.39791
w1699	1.013	1.14299	20.5	21.1752	1.33156e-18	0.654914
w1699ARC	1.016	1.14154	26.1	28.8024	1.91601e-18	0.778069
