cell		Voc(V)	Vlim(V)	J_sc(mA/cm^2)	J_0_r	ERE(%)

w1642		1.013	1.14923	21.2163	1.04807e-18	0.514485
w1632		0.991	1.14074	19.9351	1.36767e-18	0.305092
w1657		1.01	1.14599	26.1354	1.46384e-18	0.51942
w1660		0.985	1.14496	17.9886	1.04824e-18	0.205464
w1662		1.026	1.14497	19.5908	1.14112e-18	1.00305
w1664		1.004	1.1467	19.5373	1.06431e-18	0.400556
w1670		1.044	1.16029	13.7273	4.42096e-19	1.11265
w1671		1.037	1.16115	14.6284	4.55803e-19	0.821133
w1672		1.041	1.16126	14.3923	4.4648e-19	0.954338
w1674		1.012	1.1611	14.5685	4.54775e-19	0.312778
w1675		1.021	1.16232	14.7345	4.38674e-19	0.422525
w1678		1.039	1.16218	14.129	4.23014e-19	0.852464
w1679		0.99	1.16043	13.8406	4.43347e-19	0.137043
w1680		1.026	1.16148	14.7114	4.52588e-19	0.529774
w1682		1.023	1.15948	13.7813	4.5809e-19	0.509689
w1683		1.037	1.15959	21.5837	7.1417e-19	0.871985
w1689		1.01	1.14783	19.2364	1.00312e-18	0.483597
w1691		0.954	1.14396	22.0558	1.33625e-18	0.0643961
w1699ARC	1.016	1.14154	28.8024	1.91601e-18	0.778069
w1703AARC	1.051	1.14751	28.7691	1.51929e-18	2.39188
w1705		0.979	1.14405	20.6274	1.24543e-18	0.168792
w1707-2		1.05	1.14839	21.051	1.07428e-18	2.22366
w1714		0.959	1.15206	20.1766	8.9338e-19	0.0571057
w1715		1.055	1.14736	29.3613	1.55953e-18	2.80826
w1717		1.02	1.14527	18.822	1.08385e-18	0.786232
w1718		0.996	1.14386	18.4515	1.12229e-18	0.328201
w1734		1.021	1.1482	20.5595	1.05696e-18	0.729613
w1735ARC	1.036	1.15149	29.1423	1.31944e-18	1.14789
w1743B		1.009	1.15246	21.7244	9.47335e-19	0.389055
w1744ARC	1.042	1.14911	29.1088	1.44487e-18	1.58721
